gene_symbol	ensembl_gene_id	ensembl_transcript_id	ensembl_protein_id	refseq_transcript_id	refseq_gene_id	refseq_protein_id
FAN1	ENSG00000198690.12	ENST00000362065.9	ENSP00000354497.4	NM_014967.5	22909	NP_055782.3
FANCA	ENSG00000187741.18	ENST00000389301.8	ENSP00000373952.3	NM_000135.4	2175	NP_000126.2
FANCB	ENSG00000181544.18	ENST00000650831.1	ENSP00000498215.1	NM_001018113.3	2187	NP_001018123.1
FANCC	ENSG00000158169.16	ENST00000289081.8	ENSP00000289081.3	NM_000136.3	2176	NP_000127.2
FANCD2	ENSG00000144554.15	ENST00000675286.1	ENSP00000502379.1	NM_001018115.3	2177	NP_001018125.1
FANCD2OS	ENSG00000163705.14	ENST00000450660.3	ENSP00000429608.1	NM_001164839.2	115795	NP_001158311.1
FANCE	ENSG00000112039.8	ENST00000229769.3	ENSP00000229769.2	NM_021922.3	2178	NP_068741.1
FANCF	ENSG00000183161.6	ENST00000327470.6	ENSP00000330875.3	NM_022725.4	2188	NP_073562.1
FANCG	ENSG00000221829.13	ENST00000378643.8	ENSP00000367910.4	NM_004629.2	2189	NP_004620.1
FANCI	ENSG00000140525.22	ENST00000310775.12	ENSP00000310842.8	NM_001113378.2	55215	NP_001106849.1
FANCL	ENSG00000115392.15	ENST00000233741.9	ENSP00000233741.5	NM_018062.4	55120	NP_060532.2
FANCM	ENSG00000187790.14	ENST00000267430.10	ENSP00000267430.5	NM_020937.4	57697	NP_065988.1
FANK1	ENSG00000203780.14	ENST00000368693.6	ENSP00000357682.1	NM_145235.5	92565	NP_660278.3
FAP	ENSG00000078098.17	ENST00000188790.9	ENSP00000188790.4	NM_004460.5	2191	NP_004451.2
FAR1	ENSG00000197601.17	ENST00000354817.8	ENSP00000346874.3	NM_032228.6	84188	NP_115604.1
FAR2	ENSG00000064763.14	ENST00000536681.8	ENSP00000443291.2	NM_001271783.2	55711	NP_001258712.1
FARP1	ENSG00000152767.19	ENST00000319562.11	ENSP00000322926.6	NM_005766.4	10160	NP_005757.1
FARP2	ENSG00000006607.16	ENST00000264042.8	ENSP00000264042.3	NM_014808.4	9855	NP_055623.1
FARS2	ENSG00000145982.15	ENST00000274680.9	ENSP00000274680.4	NM_006567.5	10667	NP_006558.1
FARSA	ENSG00000179115.13	ENST00000314606.9	ENSP00000320309.3	NM_004461.3	2193	NP_004452.1
FARSB	ENSG00000116120.13	ENST00000281828.8	ENSP00000281828.6	NM_005687.5	10056	NP_005678.3
FAS	ENSG00000026103.26	ENST00000652046.1	ENSP00000498466.1	NM_000043.6	355	NP_000034.1
FASLG	ENSG00000117560.10	ENST00000367721.3	ENSP00000356694.2	NM_000639.3	356	NP_000630.1
FASN	ENSG00000169710.11	ENST00000306749.4	ENSP00000304592.2	NM_004104.5	2194	NP_004095.4
FASTK	ENSG00000164896.23	ENST00000297532.11	ENSP00000297532.6	NM_006712.5	10922	NP_006703.1
FASTKD1	ENSG00000138399.20	ENST00000453153.7	ENSP00000400513.2	NM_024622.6	79675	NP_078898.3
FASTKD2	ENSG00000118246.16	ENST00000402774.8	ENSP00000385990.3	NM_001136193.2	22868	NP_001129665.1
FASTKD3	ENSG00000124279.14	ENST00000264669.10	ENSP00000264669.5	NM_024091.4	79072	NP_076996.2
FASTKD5	ENSG00000215251.6	ENST00000380266.4	ENSP00000369618.3	NM_021826.5	60493	NP_068598.1
FAT1	ENSG00000083857.17	ENST00000441802.7	ENSP00000406229.2	NM_005245.4	2195	NP_005236.2
FAT2	ENSG00000086570.13	ENST00000261800.6	ENSP00000261800.5	NM_001447.3	2196	NP_001438.1
FAT3	ENSG00000165323.18	ENST00000525166.6	ENSP00000432586.2	NM_001367949.2	120114	NP_001354878.1
FAT4	ENSG00000196159.15	ENST00000394329.9	ENSP00000377862.4	NM_001291303.3	79633	NP_001278232.1
FATE1	ENSG00000147378.13	ENST00000370350.7	ENSP00000359375.3	NM_033085.3	89885	NP_149076.1
FAU	ENSG00000149806.13	ENST00000529639.6	ENSP00000435370.1	NM_001997.5	2197	NP_001988.1
FAXC	ENSG00000146267.13	ENST00000389677.6	ENSP00000374328.4	NM_032511.4	84553	NP_115900.1
FAXDC2	ENSG00000170271.13	ENST00000326080.10	ENSP00000320604.5	NM_032385.5	10826	NP_115761.2
FBF1	ENSG00000188878.22	ENST00000636174.2	ENSP00000490726.1	NM_001319193.2	85302	NP_001306122.1
FBH1	ENSG00000134452.22	ENST00000362091.9	ENSP00000355415.4	NM_178150.3	84893	NP_835363.1
FBL	ENSG00000105202.11	ENST00000221801.8	ENSP00000221801.2	NM_001436.4	2091	NP_001427.2
FBLIM1	ENSG00000162458.15	ENST00000375766.8	ENSP00000364921.3	NM_017556.4	54751	NP_060026.2
FBLL1	ENSG00000188573.8	ENST00000338333.5	ENSP00000473383.1	NM_001355274.2	345630	NP_001342203.1
FBLN1	ENSG00000077942.21	ENST00000327858.11	ENSP00000331544.6	NM_006486.3	2192	NP_006477.3
FBLN2	ENSG00000163520.16	ENST00000404922.8	ENSP00000384169.3	NM_001004019.2	2199	NP_001004019.1
FBLN5	ENSG00000140092.18	ENST00000342058.9	ENSP00000345008.4	NM_006329.4	10516	NP_006320.2
FBLN7	ENSG00000144152.15	ENST00000331203.7	ENSP00000331411.2	NM_153214.3	129804	NP_694946.2
FBN1	ENSG00000166147.17	ENST00000316623.10	ENSP00000325527.5	NM_000138.5	2200	NP_000129.3
FBN2	ENSG00000138829.16	ENST00000262464.9	ENSP00000262464.4	NM_001999.4	2201	NP_001990.2
FBN3	ENSG00000142449.15	ENST00000600128.6	ENSP00000470498.1	NM_032447.5	84467	NP_115823.3
FBP1	ENSG00000165140.14	ENST00000375326.9	ENSP00000364475.5	NM_000507.4	2203	NP_000498.2
FBP2	ENSG00000130957.6	ENST00000375337.4	ENSP00000364486.3	NM_003837.4	8789	NP_003828.2
FBRS	ENSG00000156860.17	ENST00000356166.11	ENSP00000348489.5	NM_001105079.3	64319	NP_001098549.2
FBRSL1	ENSG00000112787.16	ENST00000973242.1	ENSP00000643096.1	NM_001382741.1	57666	NP_001369670.1
FBRSL1	ENSG00000112787.16	ENST00000680143.1	ENSP00000505341.1	NM_001367871.1	57666	NP_001354800.1
FBXL12	ENSG00000127452.10	ENST00000247977.9	ENSP00000247977.3	NM_017703.3	54850	NP_060173.1
FBXL13	ENSG00000161040.21	ENST00000440067.4	ENSP00000390126.2	NM_001394494.2	222235	NP_001381423.1
FBXL14	ENSG00000171823.9	ENST00000339235.4	ENSP00000344855.3	NM_152441.3	144699	NP_689654.1
FBXL15	ENSG00000107872.16	ENST00000369956.8	ENSP00000358972.3	NM_024326.4	79176	NP_077302.3
FBXL16	ENSG00000127585.15	ENST00000397621.6	ENSP00000380746.1	NM_153350.4	146330	NP_699181.2
FBXL17	ENSG00000145743.19	ENST00000542267.7	ENSP00000437464.2	NM_001163315.3	64839	NP_001156787.2
FBXL18	ENSG00000155034.23	ENST00000382368.8	ENSP00000371805.3	NM_024963.6	80028	NP_079239.3
FBXL19	ENSG00000099364.19	ENST00000338343.10	ENSP00000339712.4	NM_001382779.1	54620	NP_001369708.1
FBXL2	ENSG00000153558.19	ENST00000484457.6	ENSP00000417601.1	NM_012157.5	25827	NP_036289.3
FBXL20	ENSG00000108306.15	ENST00000264658.11	ENSP00000264658.6	NM_032875.3	84961	NP_116264.2
FBXL22	ENSG00000197361.9	ENST00000638704.2	ENSP00000492359.1	NM_001367807.1	283807	NP_001354736.1
FBXL3	ENSG00000005812.13	ENST00000355619.10	ENSP00000347834.5	NM_012158.4	26224	NP_036290.1
FBXL4	ENSG00000112234.11	ENST00000369244.7	ENSP00000358247.1	NM_001278716.2	26235	NP_001265645.1
FBXL5	ENSG00000118564.17	ENST00000341285.8	ENSP00000344866.3	NM_012161.4	26234	NP_036293.1
FBXL6	ENSG00000182325.13	ENST00000331890.6	ENSP00000330098.5	NM_012162.4	26233	NP_036294.2
FBXL7	ENSG00000183580.11	ENST00000504595.2	ENSP00000423630.1	NM_012304.5	23194	NP_036436.1
FBXL8	ENSG00000135722.11	ENST00000258200.8	ENSP00000258200.3	NM_018378.3	55336	NP_060848.2
FBXO10	ENSG00000147912.15	ENST00000432825.7	ENSP00000403802.2	NM_012166.3	26267	NP_036298.2
FBXO11	ENSG00000138081.24	ENST00000403359.8	ENSP00000384823.4	NM_001190274.2	80204	NP_001177203.1
FBXO15	ENSG00000141665.15	ENST00000419743.7	ENSP00000393154.2	NM_001142958.2	201456	NP_001136430.1
FBXO16	ENSG00000214050.10	ENST00000380254.7	ENSP00000369604.2	NM_172366.4	157574	NP_758954.1
FBXO17	ENSG00000269190.8	ENST00000292852.9	ENSP00000292852.3	NM_024907.7	115290	NP_079183.4
FBXO2	ENSG00000116661.13	ENST00000354287.5	ENSP00000346240.4	NM_012168.6	26232	NP_036300.2
FBXO21	ENSG00000135108.18	ENST00000622495.5	ENSP00000483508.1	NM_015002.3	23014	NP_055817.1
FBXO22	ENSG00000167196.16	ENST00000308275.8	ENSP00000307833.3	NM_147188.3	26263	NP_671717.1
FBXO24	ENSG00000106336.15	ENST00000241071.11	ENSP00000241071.6	NM_033506.3	26261	NP_277041.1
FBXO25	ENSG00000147364.19	ENST00000350302.8	ENSP00000342077.4	NM_183420.2	26260	NP_904356.1
FBXO27	ENSG00000161243.12	ENST00000292853.9	ENSP00000292853.3	NM_178820.5	126433	NP_849142.1
FBXO28	ENSG00000143756.13	ENST00000366862.10	ENSP00000355827.5	NM_015176.4	23219	NP_055991.1
FBXO3	ENSG00000110429.16	ENST00000265651.8	ENSP00000265651.3	NM_012175.4	26273	NP_036307.2
FBXO30	ENSG00000118496.7	ENST00000237281.5	ENSP00000237281.3	NM_032145.5	84085	NP_115521.3
FBXO31	ENSG00000103264.20	ENST00000311635.12	ENSP00000310841.4	NM_024735.5	79791	NP_079011.3
FBXO32	ENSG00000156804.9	ENST00000517956.5	ENSP00000428205.1	NM_058229.4	114907	NP_478136.1
FBXO33	ENSG00000165355.10	ENST00000298097.8	ENSP00000298097.7	NM_203301.4	254170	NP_976046.1
FBXO34	ENSG00000178974.13	ENST00000313833.5	ENSP00000313159.4	NM_017943.4	55030	NP_060413.2
FBXO36	ENSG00000153832.14	ENST00000283946.8	ENSP00000283946.3	NM_174899.5	130888	NP_777559.3
FBXO38	ENSG00000145868.19	ENST00000340253.10	ENSP00000342023.6	NM_205836.3	81545	NP_995308.1
FBXO39	ENSG00000177294.8	ENST00000321535.5	ENSP00000321386.4	NM_153230.3	162517	NP_694962.1
FBXO4	ENSG00000151876.15	ENST00000281623.8	ENSP00000281623.3	NM_012176.3	26272	NP_036308.1
FBXO40	ENSG00000163833.10	ENST00000338040.6	ENSP00000337510.4	NM_016298.4	51725	NP_057382.2
FBXO41	ENSG00000163013.13	ENST00000520530.3	ENSP00000430968.2	NM_001371389.2	150726	NP_001358318.1
FBXO42	ENSG00000037637.13	ENST00000375592.8	ENSP00000364742.3	NM_018994.3	54455	NP_061867.1
FBXO43	ENSG00000156509.15	ENST00000428847.3	ENSP00000403293.2	NM_001029860.4	286151	NP_001025031.2
FBXO44	ENSG00000132879.16	ENST00000251547.10	ENSP00000251547.5	NM_033182.7	93611	NP_149438.2
FBXO45	ENSG00000174013.9	ENST00000311630.7	ENSP00000310332.6	NM_001105573.2	200933	NP_001099043.1
FBXO46	ENSG00000177051.8	ENST00000317683.4	ENSP00000410007.1	NM_001080469.2	23403	NP_001073938.1
FBXO47	ENSG00000204952.4	ENST00000378079.3	ENSP00000367319.2	NM_001008777.3	494188	NP_001008777.2
FBXO48	ENSG00000204923.6	ENST00000377957.4	ENSP00000367193.2	NM_001024680.3	554251	NP_001019851.1
FBXO5	ENSG00000112029.11	ENST00000229758.8	ENSP00000229758.3	NM_012177.5	26271	NP_036309.1
FBXO6	ENSG00000116663.13	ENST00000376753.9	ENSP00000365944.4	NM_018438.6	26270	NP_060908.1
FBXO7	ENSG00000100225.20	ENST00000266087.12	ENSP00000266087.7	NM_012179.4	25793	NP_036311.3
FBXO8	ENSG00000164117.16	ENST00000393674.7	ENSP00000377280.2	NM_012180.3	26269	NP_036312.2
FBXO9	ENSG00000112146.18	ENST00000323557.12	ENSP00000326968.7	NM_033480.3	26268	NP_258441.1
FBXW10	ENSG00000171931.14	ENST00000395665.9	ENSP00000379025.4	NM_001267585.2	10517	NP_001254514.1
FBXW10B	ENSG00000241322.12	ENST00000395906.8	ENSP00000379242.4	NM_006382.4	374286	NP_006373.2
FBXW11	ENSG00000072803.20	ENST00000517395.6	ENSP00000428753.2	NM_001378974.1	23291	NP_001365903.1
FBXW12	ENSG00000164049.14	ENST00000296438.9	ENSP00000296438.5	NM_207102.2	285231	NP_996985.2
FBXW2	ENSG00000119402.20	ENST00000608872.6	ENSP00000476369.1	NM_012164.4	26190	NP_036296.2
FBXW4	ENSG00000107829.17	ENST00000331272.9	ENSP00000359149.3	NM_022039.4	6468	NP_071322.2
FBXW5	ENSG00000159069.16	ENST00000325285.8	ENSP00000313034.3	NM_018998.4	54461	NP_061871.1
FBXW7	ENSG00000109670.19	ENST00000281708.10	ENSP00000281708.3	NM_001349798.2	55294	NP_001336727.1
FBXW8	ENSG00000174989.16	ENST00000652555.1	ENSP00000498999.1	NM_153348.3	26259	NP_699179.2
FBXW9	ENSG00000132004.15	ENST00000393261.8	ENSP00000376945.3	NM_032301.3	84261	NP_115677.2
FCAMR	ENSG00000162897.17	ENST00000324852.9	ENSP00000316491.4	NM_001170631.2	83953	NP_001164102.1
FCAR	ENSG00000186431.20	ENST00000355524.8	ENSP00000347714.3	NM_002000.4	2204	NP_001991.1
FCER1A	ENSG00000179639.12	ENST00000693622.1	ENSP00000509626.1	NM_001387280.1	2205	NP_001374209.1
FCER1G	ENSG00000158869.13	ENST00000289902.2	ENSP00000289902.1	NM_004106.2	2207	NP_004097.1
FCER2	ENSG00000104921.16	ENST00000597921.6	ENSP00000471974.1	NM_001220500.2	2208	NP_001207429.1
FCF1	ENSG00000119616.12	ENST00000341162.8	ENSP00000344393.4	NM_015962.5	51077	NP_057046.1
FCGBP	ENSG00000281123.5	ENST00000628705.3	ENSP00000487490.3	NM_003890.3	8857	NP_003881.2
FCGR1A	ENSG00000150337.16	ENST00000369168.5	ENSP00000358165.4	NM_000566.4	2209	NP_000557.1
FCGR2A	ENSG00000143226.18	ENST00000271450.12	ENSP00000271450.6	NM_001136219.3	2212	NP_001129691.1
FCGR2B	ENSG00000072694.24	ENST00000358671.10	ENSP00000351497.5	NM_001394477.1	2213	NP_001381406.1
FCGR3A	ENSG00000203747.15	ENST00000443193.6	ENSP00000392047.2	NM_000569.8	2214	NP_000560.7
FCGR3B	ENSG00000162747.15	ENST00000650385.1	ENSP00000497461.1	NM_001244753.2	2215	NP_001231682.2
FCGRT	ENSG00000104870.15	ENST00000221466.10	ENSP00000221466.4	NM_001136019.3	2217	NP_001129491.1
FCHO1	ENSG00000130475.18	ENST00000596536.6	ENSP00000470731.1	NM_015122.3	23149	NP_055937.1
FCHO2	ENSG00000157107.16	ENST00000430046.7	ENSP00000393776.2	NM_138782.3	115548	NP_620137.2
FCHSD1	ENSG00000197948.13	ENST00000435817.7	ENSP00000399259.2	NM_033449.3	89848	NP_258260.1
FCHSD2	ENSG00000137478.17	ENST00000409418.9	ENSP00000386722.4	NM_014824.3	9873	NP_055639.2
FCMR	ENSG00000162894.14	ENST00000367091.8	ENSP00000356058.3	NM_005449.5	9214	NP_005440.1
FCN1	ENSG00000085265.14	ENST00000371806.4	ENSP00000360871.3	NM_002003.5	2219	NP_001994.2
FCN2	ENSG00000160339.18	ENST00000291744.11	ENSP00000291744.6	NM_004108.3	2220	NP_004099.2
FCN3	ENSG00000142748.16	ENST00000270879.9	ENSP00000270879.4	NM_003665.4	8547	NP_003656.2
FCRL1	ENSG00000163534.18	ENST00000368176.8	ENSP00000357158.3	NM_052938.5	115350	NP_443170.1
FCRL2	ENSG00000132704.18	ENST00000361516.8	ENSP00000355157.3	NM_030764.4	79368	NP_110391.2
FCRL3	ENSG00000160856.23	ENST00000368184.8	ENSP00000357167.3	NM_052939.4	115352	NP_443171.2
FCRL4	ENSG00000163518.11	ENST00000271532.2	ENSP00000271532.1	NM_031282.3	83417	NP_112572.1
FCRL5	ENSG00000143297.21	ENST00000361835.8	ENSP00000354691.3	NM_031281.3	83416	NP_112571.2
FCRL6	ENSG00000181036.16	ENST00000368106.4	ENSP00000357086.3	NM_001004310.3	343413	NP_001004310.2
FCRLA	ENSG00000132185.20	ENST00000236938.12	ENSP00000236938.7	NM_032738.4	84824	NP_116127.4
FCRLB	ENSG00000162746.16	ENST00000367948.7	ENSP00000356925.2	NM_001002901.4	127943	NP_001002901.1
FCSK	ENSG00000157353.19	ENST00000288078.11	ENSP00000288078.6	NM_145059.3	197258	NP_659496.2
FDCSP	ENSG00000181617.7	ENST00000317987.6	ENSP00000318437.5	NM_152997.4	260436	NP_694542.1
FDFT1	ENSG00000079459.16	ENST00000220584.9	ENSP00000220584.4	NM_004462.5	2222	NP_004453.3
FDPS	ENSG00000160752.17	ENST00000368356.9	ENSP00000357340.4	NM_002004.4	2224	NP_001995.1
FDX1	ENSG00000137714.5	ENST00000260270.3	ENSP00000260270.2	NM_004109.5	2230	NP_004100.1
FDX2	ENSG00000267673.8	ENST00000393708.3	ENSP00000377311.5	NM_001397406.1	112812	NP_001384335.1
FDXACB1	ENSG00000255561.9	ENST00000260257.9	ENSP00000260257.4	NM_138378.3	91893	NP_612387.1
FDXR	ENSG00000161513.14	ENST00000293195.10	ENSP00000293195.5	NM_024417.5	2232	NP_077728.3
FECH	ENSG00000066926.15	ENST00000262093.11	ENSP00000262093.6	NM_000140.5	2235	NP_000131.2
FEM1A	ENSG00000141965.5	ENST00000269856.5	ENSP00000269856.3	NM_018708.3	55527	NP_061178.1
FEM1B	ENSG00000169018.7	ENST00000306917.5	ENSP00000307298.4	NM_015322.5	10116	NP_056137.1
FEM1C	ENSG00000145780.10	ENST00000274457.5	ENSP00000274457.3	NM_020177.3	56929	NP_064562.1
FEN1	ENSG00000168496.6	ENST00000305885.3	ENSP00000305480.2	NM_004111.6	2237	NP_004102.1
FER	ENSG00000151422.16	ENST00000281092.9	ENSP00000281092.4	NM_005246.4	2241	NP_005237.2
FER1L5	ENSG00000249715.13	ENST00000624922.6	ENSP00000485238.1	NM_001293083.2	90342	NP_001280012.1
FER1L6	ENSG00000214814.8	ENST00000522917.5	ENSP00000428280.1	NM_001039112.2	654463	NP_001034201.2
FERD3L	ENSG00000146618.3	ENST00000275461.3	ENSP00000275461.3	NM_152898.2	222894	NP_690862.1
FERMT1	ENSG00000101311.19	ENST00000217289.9	ENSP00000217289.4	NM_017671.5	55612	NP_060141.3
FERMT2	ENSG00000073712.17	ENST00000341590.8	ENSP00000340391.3	NM_006832.3	10979	NP_006823.1
FERMT3	ENSG00000149781.16	ENST00000345728.10	ENSP00000339950.5	NM_031471.6	83706	NP_113659.3
FERRY3	ENSG00000047621.14	ENST00000261250.8	ENSP00000261250.3	NM_020374.4	57102	NP_065107.1
FES	ENSG00000182511.14	ENST00000328850.8	ENSP00000331504.3	NM_002005.4	2242	NP_001996.1
FETUB	ENSG00000090512.14	ENST00000265029.8	ENSP00000265029.3	NM_014375.3	26998	NP_055190.2
FEV	ENSG00000163497.4	ENST00000295727.2	ENSP00000295727.1	NM_017521.3	54738	NP_059991.1
FEZ1	ENSG00000149557.16	ENST00000278919.8	ENSP00000278919.3	NM_005103.5	9638	NP_005094.1
FEZ2	ENSG00000171055.17	ENST00000405912.8	ENSP00000385112.3	NM_005102.3	9637	NP_005093.2
FEZF1	ENSG00000128610.14	ENST00000442488.7	ENSP00000411145.2	NM_001024613.4	389549	NP_001019784.2
FEZF2	ENSG00000153266.15	ENST00000283268.8	ENSP00000283268.3	NM_018008.4	55079	NP_060478.3
FFAR1	ENSG00000126266.5	ENST00000246553.4	ENSP00000246553.2	NM_005303.3	2864	NP_005294.1
FFAR2	ENSG00000126262.5	ENST00000599180.3	ENSP00000473159.1	NM_001370087.1	2867	NP_001357016.1
FFAR3	ENSG00000185897.8	ENST00000327809.5	ENSP00000328230.3	NM_005304.5	2865	NP_005295.1
FFAR4	ENSG00000186188.13	ENST00000371481.9	ENSP00000360536.5	NM_001195755.2	338557	NP_001182684.1
FGA	ENSG00000171560.20	ENST00000403106.8	ENSP00000385981.3	NM_021871.4	2243	NP_068657.1
FGB	ENSG00000171564.14	ENST00000302068.9	ENSP00000306099.4	NM_005141.5	2244	NP_005132.2
FGD1	ENSG00000102302.10	ENST00000375135.4	ENSP00000364277.3	NM_004463.3	2245	NP_004454.2
FGD2	ENSG00000146192.18	ENST00000274963.13	ENSP00000274963.8	NM_173558.4	221472	NP_775829.2
FGD3	ENSG00000127084.21	ENST00000375482.8	ENSP00000364631.3	NM_001083536.2	89846	NP_001077005.1
FGD4	ENSG00000139132.17	ENST00000534526.7	ENSP00000449273.1	NM_001370298.3	121512	NP_001357227.2
FGD5	ENSG00000154783.14	ENST00000285046.10	ENSP00000285046.5	NM_152536.4	152273	NP_689749.3
FGD6	ENSG00000180263.16	ENST00000343958.9	ENSP00000344446.4	NM_018351.4	55785	NP_060821.3
FGF1	ENSG00000113578.20	ENST00000337706.7	ENSP00000338548.2	NM_000800.5	2246	NP_000791.1
FGF10	ENSG00000070193.7	ENST00000264664.5	ENSP00000264664.4	NM_004465.2	2255	NP_004456.1
FGF11	ENSG00000161958.13	ENST00000293829.9	ENSP00000293829.4	NM_004112.4	2256	NP_004103.1
FGF12	ENSG00000114279.16	ENST00000445105.7	ENSP00000393686.1	NM_004113.6	2257	NP_004104.3
FGF13	ENSG00000129682.18	ENST00000315930.11	ENSP00000322390.6	NM_004114.5	2258	NP_004105.1
FGF14	ENSG00000102466.17	ENST00000376143.5	ENSP00000365313.4	NM_004115.4	2259	NP_004106.1
FGF14	ENSG00000102466.17	ENST00000376131.9	ENSP00000365301.3	NM_175929.3	2259	NP_787125.1
FGF16	ENSG00000196468.9	ENST00000439435.3	ENSP00000399324.2	NM_003868.3	8823	NP_003859.1
FGF17	ENSG00000158815.12	ENST00000359441.4	ENSP00000352414.3	NM_003867.4	8822	NP_003858.1
FGF18	ENSG00000156427.10	ENST00000274625.6	ENSP00000274625.5	NM_003862.3	8817	NP_003853.1
FGF19	ENSG00000162344.6	ENST00000294312.4	ENSP00000294312.3	NM_005117.3	9965	NP_005108.1
FGF2	ENSG00000138685.19	ENST00000644866.2	ENSP00000494222.1	NM_001361665.2	2247	NP_001348594.1
FGF20	ENSG00000078579.10	ENST00000180166.6	ENSP00000180166.5	NM_019851.3	26281	NP_062825.1
FGF21	ENSG00000105550.11	ENST00000593756.6	ENSP00000471477.1	NM_019113.4	26291	NP_061986.1
FGF22	ENSG00000070388.12	ENST00000215530.7	ENSP00000215530.4	NM_020637.2	27006	NP_065688.1
FGF23	ENSG00000118972.4	ENST00000237837.2	ENSP00000237837.1	NM_020638.3	8074	NP_065689.1
FGF3	ENSG00000186895.4	ENST00000334134.4	ENSP00000334122.2	NM_005247.4	2248	NP_005238.1
FGF4	ENSG00000075388.5	ENST00000168712.3	ENSP00000168712.1	NM_002007.4	2249	NP_001998.1
FGF5	ENSG00000138675.18	ENST00000312465.12	ENSP00000311697.7	NM_004464.4	2250	NP_004455.2
FGF6	ENSG00000111241.4	ENST00000228837.3	ENSP00000228837.2	NM_020996.3	2251	NP_066276.2
FGF7	ENSG00000140285.14	ENST00000267843.9	ENSP00000267843.4	NM_002009.4	2252	NP_002000.1
FGF8	ENSG00000107831.15	ENST00000320185.7	ENSP00000321797.2	NM_033163.5	2253	NP_149353.1
FGF9	ENSG00000102678.8	ENST00000382353.6	ENSP00000371790.5	NM_002010.3	2254	NP_002001.1
FGFBP1	ENSG00000137440.7	ENST00000382333.2	ENSP00000371770.1	NM_005130.5	9982	NP_005121.1
FGFBP2	ENSG00000137441.10	ENST00000259989.7	ENSP00000259989.6	NM_031950.4	83888	NP_114156.1
FGFBP3	ENSG00000174721.11	ENST00000311575.6	ENSP00000339067.3	NM_152429.5	143282	NP_689642.3
FGFR1	ENSG00000077782.25	ENST00000447712.7	ENSP00000400162.2	NM_023110.3	2260	NP_075598.2
FGFR1OP2	ENSG00000111790.16	ENST00000229395.8	ENSP00000229395.3	NM_015633.3	26127	NP_056448.1
FGFR2	ENSG00000066468.26	ENST00000358487.10	ENSP00000351276.6	NM_000141.5	2263	NP_000132.3
FGFR2	ENSG00000066468.26	ENST00000457416.7	ENSP00000410294.2	NM_022970.4	2263	NP_075259.4
FGFR3	ENSG00000068078.22	ENST00000440486.8	ENSP00000414914.2	NM_000142.5	2261	NP_000133.1
FGFR4	ENSG00000160867.17	ENST00000292408.9	ENSP00000292408.4	NM_213647.3	2264	NP_998812.1
FGFRL1	ENSG00000127418.17	ENST00000510644.6	ENSP00000425025.1	NM_001004356.3	53834	NP_001004356.1
FGG	ENSG00000171557.19	ENST00000336098.8	ENSP00000336829.3	NM_021870.3	2266	NP_068656.2
FGGY	ENSG00000172456.20	ENST00000303721.12	ENSP00000305922.8	NM_018291.5	55277	NP_060761.3
FGL1	ENSG00000104760.19	ENST00000427924.5	ENSP00000401952.1	NM_004467.4	2267	NP_004458.3
FGL2	ENSG00000127951.9	ENST00000248598.6	ENSP00000248598.5	NM_006682.3	10875	NP_006673.1
FGR	ENSG00000000938.15	ENST00000374005.8	ENSP00000363117.3	NM_005248.3	2268	NP_005239.1
FH	ENSG00000091483.10	ENST00000366560.4	ENSP00000355518.4	NM_000143.4	2271	NP_000134.2
FHAD1	ENSG00000142621.23	ENST00000688493.1	ENSP00000509124.1	NM_001391957.1	114827	NP_001378886.1
FHDC1	ENSG00000137460.12	ENST00000511601.6	ENSP00000427567.1	NM_001371116.1	85462	NP_001358045.1
FHIP1A	ENSG00000164142.18	ENST00000435205.6	ENSP00000413196.1	NM_001109977.3	729830	NP_001103447.1
FHIP1B	ENSG00000051009.13	ENST00000449352.7	ENSP00000416918.3	NM_001098794.2	84067	NP_001092264.1
FHIP2A	ENSG00000151553.17	ENST00000369248.9	ENSP00000358251.4	NM_020940.4	57700	NP_065991.3
FHIP2B	ENSG00000158863.24	ENST00000289921.8	ENSP00000289921.6	NM_022749.7	64760	NP_073586.5
FHIT	ENSG00000189283.12	ENST00000492590.6	ENSP00000418582.1	NM_002012.4	2272	NP_002003.1
FHL1	ENSG00000022267.21	ENST00000394155.8	ENSP00000377710.2	NM_001159702.3	2273	NP_001153174.1
FHL1	ENSG00000022267.21	ENST00000370683.6	ENSP00000359717.1	NM_001159699.2	2273	NP_001153171.1
FHL2	ENSG00000115641.21	ENST00000530340.6	ENSP00000433567.2	NM_001318895.3	2274	NP_001305824.1
FHL3	ENSG00000183386.13	ENST00000373016.4	ENSP00000362107.3	NM_004468.5	2275	NP_004459.2
FHL5	ENSG00000112214.13	ENST00000450218.6	ENSP00000396390.2	NM_001322466.2	9457	NP_001309395.1
FHOD1	ENSG00000135723.16	ENST00000258201.9	ENSP00000258201.4	NM_013241.3	29109	NP_037373.2
FHOD3	ENSG00000134775.18	ENST00000590592.6	ENSP00000466937.1	NM_001281740.3	80206	NP_001268669.1
FIBCD1	ENSG00000130720.15	ENST00000372338.9	ENSP00000361413.4	NM_032843.5	84929	NP_116232.3
FIBIN	ENSG00000176971.4	ENST00000318627.4	ENSP00000321962.2	NM_203371.2	387758	NP_976249.1
FIBP	ENSG00000172500.15	ENST00000357519.9	ENSP00000350124.5	NM_004214.5	9158	NP_004205.2
FICD	ENSG00000198855.9	ENST00000552695.6	ENSP00000446479.1	NM_007076.3	11153	NP_009007.2
FIG4	ENSG00000112367.14	ENST00000230124.8	ENSP00000230124.4	NM_014845.6	9896	NP_055660.1
